fund_type,fund_code,fund_desc,dept_num,dept_desc,approp_auth,approp_auth_desc,approp_acc,approp_acc_desc,ordinance,year,department
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,5,SALARIES AND WAGES - ON PAYROLL,1116345.0,2022,Office of Inspector General
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,15,SCHEDULE SALARY ADJUSTMENTS,12100.0,2022,Office of Inspector General
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,130,POSTAGE,309.0,2022,Office of Inspector General
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,140,PROFESSIONAL AND TECHNICAL SERVICES,1268.0,2022,Office of Inspector General
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,143,COURT REPORTING,9808.0,2022,Office of Inspector General
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,149,SOFTWARE MAINTENANCE AND LICENSING,35801.0,2022,Office of Inspector General
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,157,RENTAL EQUIPMENT AND SERVICES,7307.0,2022,Office of Inspector General
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,159,LEASE/PURCHASE EQUIPMENT,1295.0,2022,Office of Inspector General
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,162,REPAIR/MAINT EQUIPMENT,1632.0,2022,Office of Inspector General
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,166,DUES  SUBSC & MEM,2390.0,2022,Office of Inspector General
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,169,TECHNICAL MEETING COSTS,14867.0,2022,Office of Inspector General
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,181,MOBILE COMMUNICATION SERVICES,4155.0,2022,Office of Inspector General
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,189,TELEPHONE - NON-CENTREX BILLINGS,7596.0,2022,Office of Inspector General
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,245,REIMBURSEMENT TO TRAVELERS,126.0,2022,Office of Inspector General
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,270,LOCAL TRANSPORTATION,948.0,2022,Office of Inspector General
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,320,GASOLINE,386.0,2022,Office of Inspector General
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,340,MATERIAL AND SUPPLIES,821.0,2022,Office of Inspector General
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,348,BOOKS AND RELATED MATERIAL,288.0,2022,Office of Inspector General
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,350,STATIONERY AND OFFICE SUPPLIES,3133.0,2022,Office of Inspector General
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,700,CONTINGENCIES,1215.0,2022,Office of Inspector General
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,5,SALARIES AND WAGES - ON PAYROLL,699622.0,2022,Office of Inspector General
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,15,SCHEDULE SALARY ADJUSTMENTS,1898.0,2022,Office of Inspector General
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,130,POSTAGE,173.0,2022,Office of Inspector General
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,140,PROFESSIONAL AND TECHNICAL SERVICES,1269.0,2022,Office of Inspector General
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,143,COURT REPORTING,9808.0,2022,Office of Inspector General
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,149,SOFTWARE MAINTENANCE AND LICENSING,20623.0,2022,Office of Inspector General
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,157,RENTAL EQUIPMENT AND SERVICES,5813.0,2022,Office of Inspector General
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,159,LEASE/PURCHASE EQUIPMENT,601.0,2022,Office of Inspector General
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,162,REPAIR/MAINT EQUIPMENT,54.0,2022,Office of Inspector General
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,166,DUES  SUBSC & MEM,1337.0,2022,Office of Inspector General
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,169,TECHNICAL MEETING COSTS,8045.0,2022,Office of Inspector General
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,181,MOBILE COMMUNICATION SERVICES,2719.0,2022,Office of Inspector General
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,189,TELEPHONE - NON-CENTREX BILLINGS,3321.0,2022,Office of Inspector General
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,245,REIMBURSEMENT TO TRAVELERS,105.0,2022,Office of Inspector General
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,270,LOCAL TRANSPORTATION,397.0,2022,Office of Inspector General
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,320,GASOLINE,386.0,2022,Office of Inspector General
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,340,MATERIAL AND SUPPLIES,322.0,2022,Office of Inspector General
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,348,BOOKS AND RELATED MATERIAL,173.0,2022,Office of Inspector General
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,350,STATIONERY AND OFFICE SUPPLIES,1225.0,2022,Office of Inspector General
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,700,CONTINGENCIES,1725.0,2022,Office of Inspector General
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,5,SALARIES AND WAGES - ON PAYROLL,161885.0,2022,Office of Inspector General
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,15,SCHEDULE SALARY ADJUSTMENTS,4050.0,2022,Office of Inspector General
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,130,POSTAGE,72.0,2022,Office of Inspector General
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,140,PROFESSIONAL AND TECHNICAL SERVICES,847.0,2022,Office of Inspector General
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,143,COURT REPORTING,6538.0,2022,Office of Inspector General
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,149,SOFTWARE MAINTENANCE AND LICENSING,9183.0,2022,Office of Inspector General
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,157,RENTAL EQUIPMENT AND SERVICES,3876.0,2022,Office of Inspector General
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,159,LEASE/PURCHASE EQUIPMENT,254.0,2022,Office of Inspector General
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,166,DUES  SUBSC & MEM,457.0,2022,Office of Inspector General
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,169,TECHNICAL MEETING COSTS,3011.0,2022,Office of Inspector General
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,181,MOBILE COMMUNICATION SERVICES,1330.0,2022,Office of Inspector General
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,189,TELEPHONE - NON-CENTREX BILLINGS,1568.0,2022,Office of Inspector General
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,245,REIMBURSEMENT TO TRAVELERS,63.0,2022,Office of Inspector General
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,270,LOCAL TRANSPORTATION,210.0,2022,Office of Inspector General
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,320,GASOLINE,257.0,2022,Office of Inspector General
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,340,MATERIAL AND SUPPLIES,135.0,2022,Office of Inspector General
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,348,BOOKS AND RELATED MATERIAL,16.0,2022,Office of Inspector General
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,350,STATIONERY AND OFFICE SUPPLIES,512.0,2022,Office of Inspector General
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,5,SALARIES AND WAGES - ON PAYROLL,1071726.0,2022,Office of Inspector General
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,15,SCHEDULE SALARY ADJUSTMENTS,7732.0,2022,Office of Inspector General
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,130,POSTAGE,299.0,2022,Office of Inspector General
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,140,PROFESSIONAL AND TECHNICAL SERVICES,2116.0,2022,Office of Inspector General
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,143,COURT REPORTING,16346.0,2022,Office of Inspector General
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,149,SOFTWARE MAINTENANCE AND LICENSING,24085.0,2022,Office of Inspector General
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,157,RENTAL EQUIPMENT AND SERVICES,10187.0,2022,Office of Inspector General
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,159,LEASE/PURCHASE EQUIPMENT,1109.0,2022,Office of Inspector General
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,162,REPAIR/MAINT EQUIPMENT,65.0,2022,Office of Inspector General
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,166,DUES  SUBSC & MEM,2029.0,2022,Office of Inspector General
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,169,TECHNICAL MEETING COSTS,13674.0,2022,Office of Inspector General
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,181,MOBILE COMMUNICATION SERVICES,3929.0,2022,Office of Inspector General
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,189,TELEPHONE - NON-CENTREX BILLINGS,6424.0,2022,Office of Inspector General
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,245,REIMBURSEMENT TO TRAVELERS,210.0,2022,Office of Inspector General
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,270,LOCAL TRANSPORTATION,732.0,2022,Office of Inspector General
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,320,GASOLINE,642.0,2022,Office of Inspector General
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,340,MATERIAL AND SUPPLIES,635.0,2022,Office of Inspector General
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,348,BOOKS AND RELATED MATERIAL,160.0,2022,Office of Inspector General
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,350,STATIONERY AND OFFICE SUPPLIES,2315.0,2022,Office of Inspector General
LOCAL,0100,CORPORATE FUND,5,OBM,2005,OBM,5,SALARIES AND WAGES - ON PAYROLL,3190204.0,2022,Office of Budget and Management
LOCAL,0100,CORPORATE FUND,5,OBM,2005,OBM,15,SCHEDULE SALARY ADJUSTMENTS,12346.0,2022,Office of Budget and Management
LOCAL,0100,CORPORATE FUND,5,OBM,2005,OBM,39,STUDENT AS TRAINEES,37500.0,2022,Office of Budget and Management
LOCAL,0100,CORPORATE FUND,5,OBM,2005,OBM,130,POSTAGE,5000.0,2022,Office of Budget and Management
LOCAL,0100,CORPORATE FUND,5,OBM,2005,OBM,140,PROFESSIONAL AND TECHNICAL SERVICES,5500.0,2022,Office of Budget and Management
LOCAL,0100,CORPORATE FUND,5,OBM,2005,OBM,152,ADVERTISING,1000.0,2022,Office of Budget and Management
LOCAL,0100,CORPORATE FUND,5,OBM,2005,OBM,157,RENTAL EQUIPMENT AND SERVICES,10000.0,2022,Office of Budget and Management
LOCAL,0100,CORPORATE FUND,5,OBM,2005,OBM,169,TECHNICAL MEETING COSTS,1000.0,2022,Office of Budget and Management
LOCAL,0100,CORPORATE FUND,5,OBM,2005,OBM,270,LOCAL TRANSPORTATION,500.0,2022,Office of Budget and Management
LOCAL,0100,CORPORATE FUND,5,OBM,2005,OBM,348,BOOKS AND RELATED MATERIAL,400.0,2022,Office of Budget and Management
LOCAL,0100,CORPORATE FUND,5,OBM,2005,OBM,350,STATIONERY AND OFFICE SUPPLIES,5400.0,2022,Office of Budget and Management
LOCAL,0200,WATER FUND,5,OBM,2005,OBM,5,SALARIES AND WAGES - ON PAYROLL,136872.0,2022,Office of Budget and Management
LOCAL,0B21,TIF ADMINISTRATION,5,OBM,2005,OBM,5,SALARIES AND WAGES - ON PAYROLL,172140.0,2022,Office of Budget and Management
LOCAL,0B21,TIF ADMINISTRATION,5,OBM,2005,OBM,15,SCHEDULE SALARY ADJUSTMENTS,1650.0,2022,Office of Budget and Management
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2005,CITY COUNCIL,5,SALARIES AND WAGES - ON PAYROLL,7001621.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2005,CITY COUNCIL,17,WARD STAFF WAGE ALLOWANCE,10026046.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2005,CITY COUNCIL,39,STUDENT AS TRAINEES,225000.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2005,CITY COUNCIL,126,OFFICE CONVENIENCES,1000.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2005,CITY COUNCIL,157,RENTAL EQUIPMENT AND SERVICES,27000.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2005,CITY COUNCIL,165,GRAPHIC DESIGN SERV,1500.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2005,CITY COUNCIL,340,MATERIAL AND SUPPLIES,7000.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2005,CITY COUNCIL,700,CONTINGENCIES,5000.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2005,CITY COUNCIL,982,RECOGNITION FOR HEROSIM,1000.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2005,CITY COUNCIL,9008,Aldermanic Expense Allowance for Ordinary and Necessary Expenses Incurred in Connection with the Performance of an Alderman's Official Duties. Warrant...,6100000.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2005,CITY COUNCIL,9072,Contingent and Other Expenses for Corporate Purposes Not Otherwise Provided For. To Be Expended Under the Direction of the President Pro Tempore ...,4000.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2005,CITY COUNCIL,9231,HUMAN INFRASTRUCTURE MENU,5000000.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2010,FINANCE,0,PERSONNEL SERVICES,774070.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2010,FINANCE,130,POSTAGE,3000.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2010,FINANCE,140,PROFESSIONAL AND TECHNICAL SERVICES,61520.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2010,FINANCE,143,COURT REPORTING,60000.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2010,FINANCE,157,RENTAL EQUIPMENT AND SERVICES,65000.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2010,FINANCE,166,DUES  SUBSC & MEM,3000.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2010,FINANCE,169,TECHNICAL MEETING COSTS,1500.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2010,FINANCE,229,TRANSPORTATION AND EXPENSE ALLOWANCE,4000.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2010,FINANCE,340,MATERIAL AND SUPPLIES,3500.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2010,FINANCE,348,BOOKS AND RELATED MATERIAL,3000.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2010,FINANCE,350,STATIONERY AND OFFICE SUPPLIES,35000.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2010,FINANCE,700,CONTINGENCIES,2000.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2010,FINANCE,9005,LEGAL FEES - COMMITTE ON FINANCE,50000.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2010,FINANCE,9006,LEGAL ASSISTANCE - COMMITTEE ON FINANCE,50000.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2010,FINANCE,9010,For Legal  Technical  Medical and Professional Services  Appraisals  Consultants  Printers  Court Reporters  and Other Incidental Contractual Services...,35500.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2012,COFA,5,SALARIES AND WAGES - ON PAYROLL,276732.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2012,COFA,700,CONTINGENCIES,32644.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2214,BUDGET AND GOVERNMENT OPS,0,PERSONNEL SERVICES,294000.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2214,BUDGET AND GOVERNMENT OPS,100,CONTRACTUAL SERVICES,15000.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2214,BUDGET AND GOVERNMENT OPS,300,COMMODITIES AND MATERIALS,12000.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2214,BUDGET AND GOVERNMENT OPS,400,EQUIPMENT,9500.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2214,BUDGET AND GOVERNMENT OPS,700,CONTINGENCIES,15000.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2216,CONTRACTING  OVERSIGHT  EQUITY,0,PERSONNEL SERVICES,199500.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2216,CONTRACTING  OVERSIGHT  EQUITY,100,CONTRACTUAL SERVICES,1500.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2220,AVIATION,0,PERSONNEL SERVICES,189000.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2220,AVIATION,100,CONTRACTUAL SERVICES,200.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2220,AVIATION,300,COMMODITIES AND MATERIALS,500.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2220,AVIATION,700,CONTINGENCIES,750.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2225,LICENSE & CONSUMER PROTECTION,0,PERSONNEL SERVICES,150675.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2225,LICENSE & CONSUMER PROTECTION,100,CONTRACTUAL SERVICES,46500.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2225,LICENSE & CONSUMER PROTECTION,300,COMMODITIES AND MATERIALS,1500.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2235,PUBLIC SAFETY,0,PERSONNEL SERVICES,221865.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2235,PUBLIC SAFETY,100,CONTRACTUAL SERVICES,1000.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2235,PUBLIC SAFETY,300,COMMODITIES AND MATERIALS,1000.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2235,PUBLIC SAFETY,700,CONTINGENCIES,500.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2245,COMMITTEES AND RULES,0,PERSONNEL SERVICES,134631.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2245,COMMITTEES AND RULES,100,CONTRACTUAL SERVICES,20000.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2245,COMMITTEES AND RULES,300,COMMODITIES AND MATERIALS,500.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2255,ECONOMIC / CAPITAL / TECH DEV,0,PERSONNEL SERVICES,404250.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2255,ECONOMIC / CAPITAL / TECH DEV,100,CONTRACTUAL SERVICES,1000.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2255,ECONOMIC / CAPITAL / TECH DEV,300,COMMODITIES AND MATERIALS,500.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2255,ECONOMIC / CAPITAL / TECH DEV,700,CONTINGENCIES,1000.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2257,ENVIRONMENTAL PROTECTION,0,PERSONNEL SERVICES,215460.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2257,ENVIRONMENTAL PROTECTION,300,COMMODITIES AND MATERIALS,800.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2258,ETHICS & GOVERNMENT OVERSIGHT,0,PERSONNEL SERVICES,190255.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2258,ETHICS & GOVERNMENT OVERSIGHT,300,COMMODITIES AND MATERIALS,1500.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2260,EDUCATION & CHILD DEVELOPMENT,0,PERSONNEL SERVICES,176806.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2260,EDUCATION & CHILD DEVELOPMENT,100,CONTRACTUAL SERVICES,3000.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2260,EDUCATION & CHILD DEVELOPMENT,700,CONTINGENCIES,2000.0,2022,City Council
LOCAL,0740,O HARE REVENUE FUND,31,LAW,2005,LAW,141,APPRAISALS,1500.0,2022,Department of Law
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2275,ZONING / LANDMARKS / BUILDINGS,0,PERSONNEL SERVICES,335886.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2275,ZONING / LANDMARKS / BUILDINGS,100,CONTRACTUAL SERVICES,74700.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2275,ZONING / LANDMARKS / BUILDINGS,300,COMMODITIES AND MATERIALS,15300.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2277,HEALTH AND HUMAN RELATIONS,0,PERSONNEL SERVICES,136500.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2277,HEALTH AND HUMAN RELATIONS,100,CONTRACTUAL SERVICES,7000.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2277,HEALTH AND HUMAN RELATIONS,300,COMMODITIES AND MATERIALS,4000.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2278,REFUGEE RIGHTS,0,PERSONNEL SERVICES,115500.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2278,REFUGEE RIGHTS,300,COMMODITIES AND MATERIALS,1500.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2280,HOUSING AND REAL ESTATE,0,PERSONNEL SERVICES,214314.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2280,HOUSING AND REAL ESTATE,300,COMMODITIES AND MATERIALS,8000.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2290,WORKFORCE DEVELOPMENT / AUDIT,0,PERSONNEL SERVICES,322476.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2290,WORKFORCE DEVELOPMENT / AUDIT,100,CONTRACTUAL SERVICES,2980.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2290,WORKFORCE DEVELOPMENT / AUDIT,300,COMMODITIES AND MATERIALS,5000.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2295,LEGISLATIVE REFERENCE BUREAU,0,PERSONNEL SERVICES,379058.0,2022,City Council
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2295,LEGISLATIVE REFERENCE BUREAU,300,COMMODITIES AND MATERIALS,16000.0,2022,City Council
LOCAL,0300,VEHICLE FUND,15,COUNCIL,2230,TRANSPORTATION AND PUBLIC WAY,0,PERSONNEL SERVICES,294000.0,2022,City Council
LOCAL,0300,VEHICLE FUND,15,COUNCIL,2230,TRANSPORTATION AND PUBLIC WAY,100,CONTRACTUAL SERVICES,15000.0,2022,City Council
LOCAL,0300,VEHICLE FUND,15,COUNCIL,2230,TRANSPORTATION AND PUBLIC WAY,300,COMMODITIES AND MATERIALS,15000.0,2022,City Council
LOCAL,0300,VEHICLE FUND,15,COUNCIL,2265,PEDESTRIAN AND TRAFFIC SAFETY,0,PERSONNEL SERVICES,294000.0,2022,City Council
LOCAL,0300,VEHICLE FUND,15,COUNCIL,2265,PEDESTRIAN AND TRAFFIC SAFETY,300,COMMODITIES AND MATERIALS,5000.0,2022,City Council
LOCAL,0355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,15,COUNCIL,2155,SPECIAL EVENTS / CULTURAL AFF,0,PERSONNEL SERVICES,171140.0,2022,City Council
